onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_psych_history	ProAnti3Marino_mem_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
2644.511068	9.951500000000124	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2644.511068	9.951500000000124	states									"   state_name
id           
0     state_0"
2644.511068	0.016016000000036	states									"          state_name
id                  
1   sending_trialnum"
2644.527084	1.377484000000095	states									"      state_name
id              
3   wait_for_cin"
2645.904568	1.0	states									"   state_name
id           
4     context"
2646.904568	0.0010150000002795423	states									"   state_name
id           
6       csgap"
2646.905583	1.0000019999997676	states									"   state_name
id           
11    stim_on"
2647.905585	0.0014830000000074506	states									"   state_name
id           
12   stim_off"
2647.907068	1.5545059999999467	states									"        state_name
id                
13  wait_for_spoke"
2649.461574	5.0009939999999915	states									"     state_name
id             
28  error_state"
2654.463084	211.88650099999995	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2654.463084	211.88650099999995	states									"   state_name
id           
0     state_0"
2654.463084	0.015984000000116794	states									"          state_name
id                  
1   sending_trialnum"
2654.479068	205.69949999999972	states									"      state_name
id              
3   wait_for_cin"
2860.178568	1.000506000000314	states									"   state_name
id           
4     context"
2861.179074	0.001494000000093365	states									"   state_name
id           
6       csgap"
2861.180568	0.1679999999996653	states									"   state_name
id           
11    stim_on"
2861.348568	5.001017000000047	states									"     state_name
id             
28  error_state"
2866.350068	55.13551299999972	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2866.350068	55.13551299999972	states									"   state_name
id           
0     state_0"
2866.350068	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
2866.366068	49.04250000000002	states									"      state_name
id              
3   wait_for_cin"
2915.408568	1.0000060000002122	states									"   state_name
id           
4     context"
2916.408574	0.0010130000000572181	states									"   state_name
id           
6       csgap"
2916.409587	0.07498099999975238	states									"   state_name
id           
11    stim_on"
2916.484568	5.001013000000057	states									"     state_name
id             
28  error_state"
2921.486068	47.366999999999734	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2921.486068	47.366999999999734	states									"   state_name
id           
0     state_0"
2921.486068	0.01599999999962165	states									"          state_name
id                  
1   sending_trialnum"
2921.502068	40.85951800000021	states									"      state_name
id              
3   wait_for_cin"
2962.361586	1.00048199999992	states									"   state_name
id           
4     context"
2963.362068	0.0010000000002037268	states									"   state_name
id           
6       csgap"
2963.363068	0.48900000000003274	states									"   state_name
id           
11    stim_on"
2963.852068	5.000999999999749	states									"     state_name
id             
28  error_state"
2968.853581	37.52400000000034	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
2968.853581	37.52400000000034	states									"   state_name
id           
0     state_0"
2968.853581	0.015996000000086497	states									"          state_name
id                  
1   sending_trialnum"
2968.869577	31.326990999999907	states									"      state_name
id              
3   wait_for_cin"
3000.196568	1.0	states									"   state_name
id           
4     context"
3001.196568	0.0010090000000673172	states									"   state_name
id           
6       csgap"
3001.197577	0.17899100000022372	states									"   state_name
id           
11    stim_on"
3001.376568	5.001013000000057	states									"     state_name
id             
28  error_state"
3006.378068	58.9760040000001	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3006.378068	58.9760040000001	states									"   state_name
id           
0     state_0"
3006.378068	0.0160080000000562	states									"          state_name
id                  
1   sending_trialnum"
3006.394076	51.94699200000014	states									"      state_name
id              
3   wait_for_cin"
3058.341068	1.000510999999733	states									"   state_name
id           
4     context"
3059.341579	0.0015050000001792796	states									"   state_name
id           
6       csgap"
3059.343084	1.0004979999998795	states									"   state_name
id           
11    stim_on"
3060.343582	0.0014860000001135631	states									"   state_name
id           
12   stim_off"
3060.345068	0.007499999999708962	states									"        state_name
id                
13  wait_for_spoke"
3060.352568	5.0015040000002955	states									"     state_name
id             
28  error_state"
3065.354573	26.48049499999979	trials	0.0	2.0	1.0	0.0	0.0	0.0	r	p	
3065.354573	26.48049499999979	states									"   state_name
id           
0     state_0"
3065.354573	0.01599499999974796	states									"          state_name
id                  
1   sending_trialnum"
3065.370568	19.499009000000115	states									"      state_name
id              
3   wait_for_cin"
3084.869577	1.0000020000002223	states									"   state_name
id           
4     context"
3085.869579	0.0014889999997649284	states									"   state_name
id           
6       csgap"
3085.871068	0.9630000000001928	states									"   state_name
id           
11    stim_on"
3086.834068	5.000999999999749	states									"     state_name
id             
28  error_state"
