onset	duration	nwb_table	ProAnti3_hit_history	ProAnti3_sides_history	ProAnti3_psych_history	ProAnti3_loc_history	ProAnti3_mem_history	ProAnti3_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
1231.957822	0.0005169999999452557	states												"             state_name
id                     
15  soff_reward_chooser"
1231.958339	0.06199900000001435	states												"         state_name
id                 
16  reward_big_soff"
1232.020338	0.533484000000044	states												"         state_name
id                 
23  post_reward_off"
1232.553822	2.9865159999999378	states												"         state_name
id                 
24  soft_drink_time"
1235.540338	0.0004939999998896383	states												"    state_name
id            
25  warndanger"
1235.540832	3.000490000000127	states												"            state_name
id                    
26  warndanger_warning"
1238.541822	13.920500000000175	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1238.541822	13.920500000000175	states												"   state_name
id           
0     state_0"
1238.541822	0.016016000000036	states												"          state_name
id                  
1   sending_trialnum"
1238.557838	2.7529930000000604	states												"      state_name
id              
3   wait_for_cin"
1241.310831	0.0004910000000108994	states												"   state_name
id           
4     nicstim"
1241.311322	0.0015149999999266583	states												"   state_name
id           
6       csgap"
1241.312837	1.0904849999999442	states												"        state_name
id                
13  wait_for_spoke"
1242.403322	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1242.403822	0.0620010000000093	states												"         state_name
id                 
16  reward_big_soff"
1242.465823	0.06550799999990886	states												"         state_name
id                 
23  post_reward_off"
1242.531331	6.9299910000002	states												"         state_name
id                 
24  soft_drink_time"
1249.461322	0.0004999999998744897	states												"    state_name
id            
25  warndanger"
1249.461822	3.000500000000102	states												"            state_name
id                    
26  warndanger_warning"
1252.462833	25.763488999999936	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1252.462833	25.763488999999936	states												"   state_name
id           
0     state_0"
1252.462833	0.016001999999843974	states												"          state_name
id                  
1   sending_trialnum"
1252.478835	11.203487000000223	states												"      state_name
id              
3   wait_for_cin"
1263.682322	0.0005049999999755528	states												"   state_name
id           
4     nicstim"
1263.682827	0.0015109999999367574	states												"   state_name
id           
6       csgap"
1263.684338	0.983983999999964	states												"        state_name
id                
13  wait_for_spoke"
1264.668322	0.0005100000000766158	states												"             state_name
id                     
15  soff_reward_chooser"
1264.668832	0.06199500000002445	states												"         state_name
id                 
16  reward_big_soff"
1264.730827	0.4939999999999145	states												"         state_name
id                 
23  post_reward_off"
1265.224827	10.000496999999996	states												"         state_name
id                 
24  soft_drink_time"
1275.225324	0.0005140000000665168	states												"    state_name
id            
25  warndanger"
1275.225838	3.000483999999915	states												"            state_name
id                    
26  warndanger_warning"
1278.226827	14.747511000000031	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1278.226827	14.747511000000031	states												"   state_name
id           
0     state_0"
1278.226827	0.01601000000005115	states												"          state_name
id                  
1   sending_trialnum"
1278.242837	0.16048499999988053	states												"      state_name
id              
3   wait_for_cin"
1278.403322	0.0005000000001018634	states												"   state_name
id           
4     nicstim"
1278.403822	0.0010099999999511056	states												"   state_name
id           
6       csgap"
1278.404832	1.1024899999999889	states												"        state_name
id                
13  wait_for_spoke"
1279.507322	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1279.507822	0.0620010000000093	states												"         state_name
id                 
16  reward_big_soff"
1279.569823	0.4030079999999998	states												"         state_name
id                 
23  post_reward_off"
1279.972831	10.000491000000011	states												"         state_name
id                 
24  soft_drink_time"
1289.973322	0.0004999999998744897	states												"    state_name
id            
25  warndanger"
1289.973822	3.0005160000000615	states												"            state_name
id                    
26  warndanger_warning"
1292.974829	11.96499300000005	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1292.974829	11.96499300000005	states												"   state_name
id           
0     state_0"
1292.974829	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
1292.990829	0.008492999999816675	states												"      state_name
id              
3   wait_for_cin"
1292.999322	0.0005000000001018634	states												"   state_name
id           
4     nicstim"
1292.999822	0.0010190000000420696	states												"   state_name
id           
6       csgap"
1293.000841	1.592480999999907	states												"        state_name
id                
13  wait_for_spoke"
1294.593322	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1294.593822	0.06199999999989814	states												"         state_name
id                 
16  reward_big_soff"
1294.655822	0.0025000000000545697	states												"         state_name
id                 
23  post_reward_off"
1294.658322	7.280508000000054	states												"         state_name
id                 
24  soft_drink_time"
1301.93883	0.0004919999998946878	states												"    state_name
id            
25  warndanger"
1301.939322	3.000500000000102	states												"            state_name
id                    
26  warndanger_warning"
1304.940322	17.186511999999993	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1304.940322	17.186511999999993	states												"   state_name
id           
0     state_0"
1304.940322	0.016011000000162312	states												"          state_name
id                  
1   sending_trialnum"
1304.956333	2.5284939999999096	states												"      state_name
id              
3   wait_for_cin"
1307.484827	0.0004950000000008004	states												"   state_name
id           
4     nicstim"
1307.485322	0.0015149999999266583	states												"   state_name
id           
6       csgap"
1307.486837	1.8049849999999878	states												"        state_name
id                
13  wait_for_spoke"
1309.291822	0.0005000000001018634	states												"             state_name
id                     
15  soff_reward_chooser"
1309.292322	0.06199999999989814	states												"         state_name
id                 
16  reward_big_soff"
1309.354322	0.003500000000030923	states												"         state_name
id                 
23  post_reward_off"
1309.357822	9.768500000000131	states												"         state_name
id                 
24  soft_drink_time"
1319.126322	0.0005049999999755528	states												"    state_name
id            
25  warndanger"
1319.126827	3.0000069999998686	states												"            state_name
id                    
26  warndanger_warning"
1322.127326	15.80750799999987	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
1322.127326	15.80750799999987	states												"   state_name
id           
0     state_0"
1322.127326	0.015995999999859123	states												"          state_name
id                  
1   sending_trialnum"
1322.143322	1.8140010000001894	states												"      state_name
id              
3   wait_for_cin"
1323.957323	0.0004989999999907013	states												"   state_name
id           
4     nicstim"
1323.957822	0.001006999999844993	states												"   state_name
id           
6       csgap"
1323.958829	0.8640000000000327	states												"        state_name
id                
13  wait_for_spoke"
1324.822829	0.0004930000000058499	states												"             state_name
id                     
15  soff_reward_chooser"
1324.823322	0.06200600000011036	states												"         state_name
id                 
16  reward_big_soff"
1324.885328	0.04799400000001697	states												"         state_name
id                 
23  post_reward_off"
1324.933322	10.000499999999874	states												"         state_name
id                 
24  soft_drink_time"
1334.933822	0.0005060000000867149	states												"    state_name
id            
25  warndanger"
1334.934328	3.0005059999998593	states												"            state_name
id                    
26  warndanger_warning"
1337.935326	18.65750099999991	trials	0.0	l	1.0	p	1.0	r	0.0	0.0	0.0	l	p	
1337.935326	18.65750099999991	states												"   state_name
id           
0     state_0"
1337.935326	0.015995999999859123	states												"          state_name
id                  
1   sending_trialnum"
1337.951322	0.1235070000000178	states												"      state_name
id              
3   wait_for_cin"
1338.074829	0.0004930000000058499	states												"   state_name
id           
4     nicstim"
1338.075322	0.001506000000063068	states												"   state_name
id           
6       csgap"
1338.076828	0.929493999999977	states												"        state_name
id                
13  wait_for_spoke"
1339.006322	0.001506000000063068	states												"   state_name
id           
29  temperror"
1339.007828	0.08549399999992602	states												"   state_name
id           
11    stim_on"
1339.093322	0.0019999999999527063	states												"   state_name
id           
29  temperror"
1339.095322	1.0335070000000997	states												"   state_name
id           
11    stim_on"
1340.128829	0.00201599999991231	states												"   state_name
id           
29  temperror"
1340.130845	0.09897700000010445	states												"   state_name
id           
11    stim_on"
1340.229822	0.0015000000000782165	states												"   state_name
id           
29  temperror"
1340.231322	1.4655139999999847	states												"   state_name
id           
11    stim_on"
1341.696836	0.001997999999957756	states												"   state_name
id           
29  temperror"
1341.698834	0.0929879999998775	states												"   state_name
id           
11    stim_on"
1341.791822	0.0015000000000782165	states												"   state_name
id           
29  temperror"
1341.793322	1.0255059999999503	states												"   state_name
id           
11    stim_on"
1342.818828	0.0004950000000008004	states												"            state_name
id                    
14  son_reward_chooser"
