onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_incoh_history_task	state_type
466.882225	0.5000089999999773	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
467.382234	18.557006	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
485.93924	0.001485000000002401	states																					"     state_name
id             
7   nic_prestim"
485.940725	0.0005080000000248219	states																					"   state_name
id           
8       cpoke"
485.941233	0.046990999999991345	states																					"   state_name
id           
9    cpoke_in"
485.988224	0.10000100000002021	states																					"   state_name
id           
10  cpoke_out"
486.088225	3.0004989999999907	states																					"         state_name
id                 
17  nic_error_state"
489.088724	0.0035009999999715546	states																					"        state_name
id                
19  clean_up_state"
489.092724	9.409014000000013	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	0.0	l	d	0.0	-4.0	0.0	2.0	0.0	0.0	
489.092724	9.409014000000013	states																					"   state_name
id           
0     state_0"
489.092724	0.016006000000004406	states																					"          state_name
id                  
1   sending_trialnum"
489.10873	0.0005010000000424952	states																					"        state_name
id                
3   wait_for_cpoke"
489.109231	0.500001999999995	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
489.609233	0.36199999999996635	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
489.971233	0.0014920000000415712	states																					"     state_name
id             
7   nic_prestim"
489.972725	0.0005009999999856518	states																					"   state_name
id           
8       cpoke"
489.973226	0.1499989999999798	states																					"   state_name
id           
9    cpoke_in"
490.123225	0.16899999999998272	states																					"       state_name
id               
11  wait_for_cout"
490.292225	0.25949900000000525	states																					"        state_name
id                
12  wait_for_spoke"
490.551724	7.946501000000012	states																					"     state_name
id             
15  error_state"
498.498225	0.003512999999998101	states																					"        state_name
id                
19  clean_up_state"
498.502225	32.86900799999995	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	0.0	l	d	0.0	-4.0	0.0	2.0			
498.502225	32.86900799999995	states																					"   state_name
id           
0     state_0"
498.502225	0.01599999999996271	states																					"          state_name
id                  
1   sending_trialnum"
498.518225	0.00050000000004502	states																					"        state_name
id                
3   wait_for_cpoke"
498.518725	0.5005019999999831	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
499.019227	23.91649700000005	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
522.935724	0.0015029999999569554	states																					"     state_name
id             
7   nic_prestim"
522.937227	0.0004979999999932261	states																					"   state_name
id           
8       cpoke"
522.937725	0.08150499999999283	states																					"   state_name
id           
9    cpoke_in"
523.01923	0.06799999999998363	states																					"   state_name
id           
10  cpoke_out"
523.08723	0.0004989999999907013	states																					"       state_name
id               
11  wait_for_cout"
523.087729	0.33349600000008195	states																					"        state_name
id                
12  wait_for_spoke"
523.421225	7.946499999999901	states																					"     state_name
id             
15  error_state"
531.367725	0.0035080000000107248	states																					"        state_name
id                
19  clean_up_state"
531.371725	7.427500000000009	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0	1.0	0.0	
531.371725	7.427500000000009	states																					"   state_name
id           
0     state_0"
531.371725	0.0160120000000461	states																					"          state_name
id                  
1   sending_trialnum"
531.387737	0.00048800000001847366	states																					"        state_name
id                
3   wait_for_cpoke"
531.388225	0.5	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
531.888225	3.778500000000008	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
535.666725	0.0014989999999670545	states																					"     state_name
id             
7   nic_prestim"
535.668224	0.0005009999999856518	states																					"   state_name
id           
8       cpoke"
535.668725	0.025999999999953616	states																					"   state_name
id           
9    cpoke_in"
535.694725	0.10050000000001091	states																					"   state_name
id           
10  cpoke_out"
535.795225	3.0005030000000943	states																					"         state_name
id                 
17  nic_error_state"
538.795728	0.0034969999999248103	states																					"        state_name
id                
19  clean_up_state"
538.79973	5.359495000000038	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0	1.0	l	d	0.0	-4.0	0.0	1.0			
538.79973	5.359495000000038	states																					"   state_name
id           
0     state_0"
538.79973	0.016003000000068823	states																					"          state_name
id                  
1   sending_trialnum"
538.815733	0.0004920000000083746	states																					"        state_name
id                
3   wait_for_cpoke"
538.816225	0.5	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
539.316225	3.2674999999999272	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
542.583725	0.0015070000000605432	states																					"     state_name
id             
7   nic_prestim"
542.585232	0.0004959999999982756	states																					"   state_name
id           
8       cpoke"
542.585728	0.045502999999939675	states																					"   state_name
id           
9    cpoke_in"
542.631231	0.008998000000019601	states																					"   state_name
id           
10  cpoke_out"
542.640229	0.0684959999999819	states																					"   state_name
id           
9    cpoke_in"
542.708725	0.027000000000043656	states																					"   state_name
id           
10  cpoke_out"
542.735725	0.0004999999999881766	states																					"       state_name
id               
11  wait_for_cout"
542.736225	0.5509990000000471	states																					"        state_name
id                
12  wait_for_spoke"
543.287224	0.0005029999999806023	states																					"   state_name
id           
13  hit_state"
543.287727	0.5309979999999541	states																					"    state_name
id            
14  hit_state2"
543.818725	0.003500000000030923	states																					"        state_name
id                
19  clean_up_state"
543.822225	0.3369999999999891	states																					"                state_name
id                        
2   check_next_trial_ready"
544.159725	14.662008000000014	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0			
544.159725	14.662008000000014	states																					"   state_name
id           
0     state_0"
544.159725	0.0160120000000461	states																					"          state_name
id                  
1   sending_trialnum"
544.175737	0.00048800000001847366	states																					"        state_name
id                
3   wait_for_cpoke"
544.176225	0.5	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
544.676225	11.019999999999982	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
555.696225	0.0010059999999612046	states																					"     state_name
id             
7   nic_prestim"
555.697231	0.0004940000000033251	states																					"   state_name
id           
8       cpoke"
555.697725	0.01999999999998181	states																					"   state_name
id           
9    cpoke_in"
555.717725	0.10000100000002021	states																					"   state_name
id           
10  cpoke_out"
555.817726	3.0004979999999932	states																					"         state_name
id                 
17  nic_error_state"
558.818224	0.0035090000000082	states																					"        state_name
id                
19  clean_up_state"
558.822225	7.440500000000043	trials	0.0	1.0	5.0	2.0	1.0	1.0	0.15	-4.0	0.0	6500.0	14200.0		l	d	0.0	-4.0	0.0	3.0			
558.822225	7.440500000000043	states																					"   state_name
id           
0     state_0"
558.822225	0.016000999999960186	states																					"          state_name
id                  
1   sending_trialnum"
558.838226	0.0004989999999907013	states																					"        state_name
id                
3   wait_for_cpoke"
558.838725	0.5005050000000892	states																					"            state_name
id                    
4   wait_for_cpoke_dir"
559.33923	3.7739970000000085	states																					"            state_name
id                    
6   wait_for_cpoke_bis"
563.113227	0.0015029999999569554	states																					"     state_name
id             
7   nic_prestim"
563.11473	0.0004950000000008004	states																					"   state_name
id           
8       cpoke"
563.115225	0.04349999999999454	states																					"   state_name
id           
9    cpoke_in"
563.158725	0.10000000000002274	states																					"   state_name
id           
10  cpoke_out"
563.258725	3.000503999999978	states																					"         state_name
id                 
17  nic_error_state"
