onset	duration	nwb_table	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
2126.319831	1.0	states																		"   state_name
id           
5       cpoke"
2127.319831	0.23448400000006586	states																		"       state_name
id               
6   wait_for_cout"
2127.554315	0.2760000000002947	states																		"        state_name
id                
7   wait_for_spoke"
2127.830315	3.000014999999621	states																		"     state_name
id             
10  error_state"
2130.83033	0.003485000000182481	states																		"        state_name
id                
14  clean_up_state"
2130.834315	5.799999999999727	trials	5.0	2.0	1.0	1.0	0.5	-5.0	-1.0	6500.0	6500.0		1.0			l	3.0			
2130.834315	5.799999999999727	states																		"   state_name
id           
0     state_0"
2130.834315	0.016016000000036	states																		"          state_name
id                  
1   sending_trialnum"
2130.850331	2.132983999999851	states																		"        state_name
id                
3   wait_for_cpoke"
2132.983315	0.0015079999998306448	states																		"     state_name
id             
4   nic_prestim"
2132.984823	0.6454970000004323	states																		"   state_name
id           
5       cpoke"
2133.63032	3.0005019999998694	states																		"         state_name
id                 
12  nic_error_state"
2136.630822	0.0034929999997075356	states																		"        state_name
id                
14  clean_up_state"
2136.634828	11.6624869999996	trials	5.0	2.0	1.0	1.0	0.5	-5.0	1.0	6500.0	6500.0		1.0			l	3.0			
2136.634828	11.6624869999996	states																		"   state_name
id           
0     state_0"
2136.634828	0.015992999999980384	states																		"          state_name
id                  
1   sending_trialnum"
2136.650821	8.615493999999671	states																		"        state_name
id                
3   wait_for_cpoke"
2145.266315	0.0010000000002037268	states																		"     state_name
id             
4   nic_prestim"
2145.267315	0.026014999999915744	states																		"   state_name
id           
5       cpoke"
2145.29333	3.000485000000026	states																		"         state_name
id                 
12  nic_error_state"
2148.293815	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2148.297815	5.3590180000001055	trials	5.0	2.0	1.0	1.0	0.5	5.0	1.0	6500.0	6500.0		1.0			r	3.0	1.0	1.0	
2148.297815	5.3590180000001055	states																		"   state_name
id           
0     state_0"
2148.297815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2148.313815	2.21100400000023	states																		"        state_name
id                
3   wait_for_cpoke"
2150.524819	0.001495999999860942	states																		"     state_name
id             
4   nic_prestim"
2150.526315	0.12650699999994686	states																		"   state_name
id           
5       cpoke"
2150.652822	3.000493000000006	states																		"         state_name
id                 
12  nic_error_state"
2153.653315	0.003517999999985477	states																		"        state_name
id                
14  clean_up_state"
2153.657315	3.388500000000022	trials	5.0	2.0	1.0	1.0	0.5	-5.0	-1.0	6500.0	6500.0	1.0	0.0	1.0		l	1.0			
2153.657315	3.388500000000022	states																		"   state_name
id           
0     state_0"
2153.657315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2153.673315	1.2145000000000437	states																		"        state_name
id                
3   wait_for_cpoke"
2154.887815	0.001006999999844993	states																		"     state_name
id             
4   nic_prestim"
2154.888822	1.0	states																		"   state_name
id           
5       cpoke"
2155.888822	0.015507999999954336	states																		"       state_name
id               
6   wait_for_cout"
2155.90433	0.3039850000000115	states																		"        state_name
id                
7   wait_for_spoke"
2156.208315	0.000503000000207976	states																		"   state_name
id           
8   hit_state"
2156.208818	0.0004969999999957508	states																		"    state_name
id            
9   hit_state2"
2156.209315	0.003513000000111788	states																		"        state_name
id                
14  clean_up_state"
2156.212828	0.8329869999997754	states																		"                state_name
id                        
2   check_next_trial_ready"
2157.046315	3.806999999999789	trials	5.0	2.0	1.0	1.0	0.5	2.0	2.0	6500.0	6500.0		1.0			r	3.0			
2157.046315	3.806999999999789	states																		"   state_name
id           
0     state_0"
2157.046315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2157.062315	0.7409999999999854	states																		"        state_name
id                
3   wait_for_cpoke"
2157.803315	0.0009999999997489795	states																		"     state_name
id             
4   nic_prestim"
2157.804315	0.04500499999994645	states																		"   state_name
id           
5       cpoke"
2157.84932	3.000495000000228	states																		"         state_name
id                 
12  nic_error_state"
2160.849815	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2160.853815	3.1260050000000774	trials	5.0	2.0	1.0	1.0	0.5	-5.0	1.0	6500.0	6500.0		1.0			l	3.0			
2160.853815	3.1260050000000774	states																		"   state_name
id           
0     state_0"
2160.853815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2160.869815	0.0005000000001018634	states																		"        state_name
id                
3   wait_for_cpoke"
2160.870315	0.0009999999997489795	states																		"     state_name
id             
4   nic_prestim"
2160.871315	0.10450500000024476	states																		"   state_name
id           
5       cpoke"
2160.97582	3.0004949999997734	states																		"         state_name
id                 
12  nic_error_state"
2163.976315	0.003505000000131986	states																		"        state_name
id                
14  clean_up_state"
2163.980331	16.96498399999973	trials	5.0	2.0	1.0	1.0	0.5	5.0	1.0	6500.0	6500.0		1.0			r	3.0			
2163.980331	16.96498399999973	states																		"   state_name
id           
0     state_0"
2163.980331	0.015983999999662046	states																		"          state_name
id                  
1   sending_trialnum"
2163.996315	13.81850600000007	states																		"        state_name
id                
3   wait_for_cpoke"
2177.814821	0.001494000000093365	states																		"     state_name
id             
4   nic_prestim"
2177.816315	0.12501500000007582	states																		"   state_name
id           
5       cpoke"
2177.94133	3.0004899999998997	states																		"         state_name
id                 
12  nic_error_state"
2180.94182	0.0034949999999298598	states																		"        state_name
id                
14  clean_up_state"
2180.945815	12.269999999999982	trials	5.0	2.0	1.0	1.0	0.5	2.0	2.0	6500.0	6500.0		1.0			r	3.0			
2180.945815	12.269999999999982	states																		"   state_name
id           
0     state_0"
2180.945815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2180.961815	8.625999999999749	states																		"        state_name
id                
3   wait_for_cpoke"
2189.587815	0.0010070000002997403	states																		"     state_name
id             
4   nic_prestim"
2189.588822	0.622997999999825	states																		"   state_name
id           
5       cpoke"
2190.21182	3.000495000000228	states																		"         state_name
id                 
12  nic_error_state"
2193.212315	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2193.21632	3.5129950000000463	trials	5.0	2.0	1.0	1.0	0.5	5.0	2.0	6500.0	6500.0		1.0			r	3.0			
2193.21632	3.5129950000000463	states																		"   state_name
id           
0     state_0"
2193.21632	0.015995000000202708	states																		"          state_name
id                  
1   sending_trialnum"
2193.232315	0.0005109999997330306	states																		"        state_name
id                
3   wait_for_cpoke"
2193.232826	0.0015040000002954912	states																		"     state_name
id             
4   nic_prestim"
2193.23433	0.49098499999990963	states																		"   state_name
id           
5       cpoke"
2193.725315	3.000499999999647	states																		"         state_name
id                 
12  nic_error_state"
2196.725815	0.0035000000002582965	states																		"        state_name
id                
14  clean_up_state"
2196.72982	3.494509999999991	trials	5.0	2.0	1.0	1.0	0.5	5.0	-1.0	6500.0	6500.0		1.0			r	3.0			
2196.72982	3.494509999999991	states																		"   state_name
id           
0     state_0"
2196.72982	0.015995000000202708	states																		"          state_name
id                  
1   sending_trialnum"
2196.745815	0.0005149999997229315	states																		"        state_name
id                
3   wait_for_cpoke"
2196.74633	0.0014850000002297747	states																		"     state_name
id             
4   nic_prestim"
2196.747815	0.4724999999998545	states																		"   state_name
id           
5       cpoke"
2197.220315	3.000507000000198	states																		"         state_name
id                 
12  nic_error_state"
2200.220822	0.003507999999783351	states																		"        state_name
id                
14  clean_up_state"
2200.224829	5.241001999999753	trials	5.0	2.0	1.0	1.0	0.5	5.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2200.224829	5.241001999999753	states																		"   state_name
id           
0     state_0"
2200.224829	0.015991999999641848	states																		"          state_name
id                  
1   sending_trialnum"
2200.240821	2.1809940000002825	states																		"        state_name
id                
3   wait_for_cpoke"
2202.421815	0.001006999999844993	states																		"     state_name
id             
4   nic_prestim"
2202.422822	0.03899300000011863	states																		"   state_name
id           
5       cpoke"
2202.461815	3.000500000000102	states																		"         state_name
id                 
12  nic_error_state"
2205.462315	0.003515999999763153	states																		"        state_name
id                
14  clean_up_state"
2205.46633	7.209984999999961	trials	5.0	2.0	1.0	1.0	0.5	-5.0	-2.0	6500.0	6500.0		1.0			l	3.0			
2205.46633	7.209984999999961	states																		"   state_name
id           
0     state_0"
2205.46633	0.016000999999960186	states																		"          state_name
id                  
1   sending_trialnum"
2205.482331	4.110486000000037	states																		"        state_name
id                
3   wait_for_cpoke"
2209.592817	0.0014979999996285187	states																		"     state_name
id             
4   nic_prestim"
2209.594315	0.07799999999997453	states																		"   state_name
id           
5       cpoke"
2209.672315	3.0005110000001878	states																		"         state_name
id                 
12  nic_error_state"
2212.672826	0.003489000000172382	states																		"        state_name
id                
14  clean_up_state"
2212.676818	3.292496999999912	trials	5.0	2.0	1.0	1.0	0.5	2.0	1.0	6500.0	6500.0		1.0			r	3.0			
2212.676818	3.292496999999912	states																		"   state_name
id           
0     state_0"
2212.676818	0.016000999999960186	states																		"          state_name
id                  
1   sending_trialnum"
2212.692819	0.0004960000001119624	states																		"        state_name
id                
3   wait_for_cpoke"
2212.693315	0.0010050000000774162	states																		"     state_name
id             
4   nic_prestim"
2212.69432	0.2709949999998571	states																		"   state_name
id           
5       cpoke"
2212.965315	3.0005049999999756	states																		"         state_name
id                 
12  nic_error_state"
2215.96582	0.0034949999999298598	states																		"        state_name
id                
14  clean_up_state"
2215.969815	13.917500000000018	trials	5.0	2.0	1.0	1.0	0.5	5.0	1.0	6500.0	6500.0		1.0			r	3.0			
2215.969815	13.917500000000018	states																		"   state_name
id           
0     state_0"
2215.969815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2215.985815	10.549007999999958	states																		"        state_name
id                
3   wait_for_cpoke"
2226.534823	0.001491999999871041	states																		"     state_name
id             
4   nic_prestim"
2226.536315	0.34700100000009115	states																		"   state_name
id           
5       cpoke"
2226.883316	3.000499000000218	states																		"         state_name
id                 
12  nic_error_state"
2229.883815	0.003499999999803549	states																		"        state_name
id                
14  clean_up_state"
2229.887815	12.415000999999847	trials	5.0	2.0	1.0	1.0	0.5	2.0	2.0	6500.0	6500.0		1.0			r	3.0			
2229.887815	12.415000999999847	states																		"   state_name
id           
0     state_0"
2229.887815	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2229.903815	9.286499999999705	states																		"        state_name
id                
3   wait_for_cpoke"
2239.190315	0.0010000000002037268	states																		"     state_name
id             
4   nic_prestim"
2239.191315	0.10751500000014858	states																		"   state_name
id           
5       cpoke"
2239.29883	3.000485000000026	states																		"         state_name
id                 
12  nic_error_state"
2242.299315	0.0035009999996873375	states																		"        state_name
id                
14  clean_up_state"
2242.303315	3.757510999999795	trials	5.0	2.0	1.0	1.0	0.5	2.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2242.303315	3.757510999999795	states																		"   state_name
id           
0     state_0"
2242.303315	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2242.319315	0.6920000000000073	states																		"        state_name
id                
3   wait_for_cpoke"
2243.011315	0.0015059999996083206	states																		"     state_name
id             
4   nic_prestim"
2243.012821	0.044011000000409695	states																		"   state_name
id           
5       cpoke"
2243.056832	3.0004829999998037	states																		"         state_name
id                 
12  nic_error_state"
2246.057315	0.0035109999998894637	states																		"        state_name
id                
14  clean_up_state"
2246.06132	10.09900000000016	trials	5.0	2.0	1.0	1.0	0.5	5.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2246.06132	10.09900000000016	states																		"   state_name
id           
0     state_0"
2246.06132	0.016000000000076398	states																		"          state_name
id                  
1   sending_trialnum"
2246.07732	7.044995000000199	states																		"        state_name
id                
3   wait_for_cpoke"
2253.122315	0.0009999999997489795	states																		"     state_name
id             
4   nic_prestim"
2253.123315	0.03300000000035652	states																		"   state_name
id           
5       cpoke"
2253.156315	3.000503999999637	states																		"         state_name
id                 
12  nic_error_state"
2256.156819	0.003501000000142085	states																		"        state_name
id                
14  clean_up_state"
2256.160817	3.408498000000236	trials	5.0	2.0	1.0	1.0	0.5	2.0	-2.0	6500.0	6500.0		1.0			r	3.0			
2256.160817	3.408498000000236	states																		"   state_name
id           
0     state_0"
2256.160817	0.016009999999823776	states																		"          state_name
id                  
1   sending_trialnum"
2256.176827	0.0004880000001321605	states																		"        state_name
id                
3   wait_for_cpoke"
2256.177315	0.0015029999999569554	states																		"     state_name
id             
4   nic_prestim"
2256.178818	0.38650200000029145	states																		"   state_name
id           
5       cpoke"
2256.56532	3.0004949999997734	states																		"         state_name
id                 
12  nic_error_state"
2259.565815	0.0035000000002582965	states																		"        state_name
id                
14  clean_up_state"
2259.569815	3.229500000000371	trials	5.0	2.0	1.0	1.0	0.5	2.0	-1.0	6500.0	6500.0		1.0			r	3.0			
