onset	duration	nwb_table	crosstalk_dir	crosstalk_freq	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_side_history	HistorySection_quadrant_history	HistorySection_task_history	HistorySection_incoh_history	HistorySection_gammadir_history	HistorySection_gammafreq_history	HistorySection_result_history	state_type
243.088621	0.3085000000000093	states																				"   state_name
id           
9    cpoke_in"
243.397121	0.028999999999996362	states																				"   state_name
id           
10  cpoke_out"
243.426121	0.823506000000009	states																				"   state_name
id           
9    cpoke_in"
244.249627	0.10049399999999764	states																				"   state_name
id           
10  cpoke_out"
244.350121	0.0004999999999881766	states																				"         state_name
id                 
17  nic_error_state"
244.350621	3.0005000000000166	states																				"          state_name
id                  
18  nic_error_state2"
247.351121	0.003500000000002501	states																				"        state_name
id                
20  clean_up_state"
247.355121	17.57499999999999	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	-2.5	6500.0	14200.0	0.0	r	1.0	d	1.0	1.0	-2.5	2.0	
247.355121	17.57499999999999	states																				"   state_name
id           
0     state_0"
247.355121	0.015999999999991132	states																				"          state_name
id                  
1   sending_trialnum"
247.371121	0.0005080000000248219	states																				"        state_name
id                
3   wait_for_cpoke"
247.371629	0.50049199999998	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
247.872121	11.293999999999983	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
259.166121	0.0015000000000213731	states																				"     state_name
id             
7   nic_prestim"
259.167621	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
259.168121	0.03000000000002956	states																				"   state_name
id           
9    cpoke_in"
259.198121	0.04399999999998272	states																				"   state_name
id           
10  cpoke_out"
259.242121	0.652499999999975	states																				"   state_name
id           
9    cpoke_in"
259.894621	0.0705000000000382	states																				"   state_name
id           
10  cpoke_out"
259.965121	0.5985079999999812	states																				"   state_name
id           
9    cpoke_in"
260.563629	0.004492000000027474	states																				"   state_name
id           
10  cpoke_out"
260.568121	0.0004999999999881766	states																				"       state_name
id               
11  wait_for_cout"
260.568621	0.3575000000000159	states																				"        state_name
id                
12  wait_for_spoke"
260.926121	4.000499999999988	states																				"     state_name
id             
15  error_state"
264.926621	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
264.930621	9.811500000000024	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	-4.0	6500.0	14200.0	1.0	l	2.0	d	0.0	-4.0	-4.0	1.0	
264.930621	9.811500000000024	states																				"   state_name
id           
0     state_0"
264.930621	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
264.946621	0.0004999999999881766	states																				"        state_name
id                
3   wait_for_cpoke"
264.947121	0.5005040000000349	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
265.447625	7.028000999999961	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
272.475626	0.001495000000033997	states																				"     state_name
id             
7   nic_prestim"
272.477121	0.0005039999999780775	states																				"   state_name
id           
8       cpoke"
272.477625	0.008996000000024651	states																				"   state_name
id           
9    cpoke_in"
272.486621	0.04599999999999227	states																				"   state_name
id           
10  cpoke_out"
272.532621	0.5450050000000033	states																				"   state_name
id           
9    cpoke_in"
273.077626	0.08200099999999111	states																				"   state_name
id           
10  cpoke_out"
273.159627	0.6759969999999953	states																				"   state_name
id           
9    cpoke_in"
273.835624	0.042002000000024964	states																				"   state_name
id           
10  cpoke_out"
273.877626	0.0004950000000008004	states																				"       state_name
id               
11  wait_for_cout"
273.878121	0.22649999999998727	states																				"        state_name
id                
12  wait_for_spoke"
274.104621	0.0004999999999881766	states																				"   state_name
id           
13  hit_state"
274.105121	0.5855000000000246	states																				"    state_name
id            
14  hit_state2"
274.690621	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
274.694121	0.04800000000000182	states																				"                state_name
id                        
2   check_next_trial_ready"
274.742621	7.204000000000008	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	1.0	-2.5	6500.0	14200.0	1.0	r	1.0	d	1.0	1.0	-2.5	1.0	
274.742621	7.204000000000008	states																				"   state_name
id           
0     state_0"
274.742621	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
274.758621	0.0004999999999881766	states																				"        state_name
id                
3   wait_for_cpoke"
274.759121	0.5	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
275.259121	3.941500000000019	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
279.200621	0.0010029999999687789	states																				"     state_name
id             
7   nic_prestim"
279.201624	0.0004969999999957508	states																				"   state_name
id           
8       cpoke"
279.202121	1.3935060000000021	states																				"   state_name
id           
9    cpoke_in"
280.595627	0.005998000000033699	states																				"   state_name
id           
10  cpoke_out"
280.601625	0.0004959999999982756	states																				"       state_name
id               
11  wait_for_cout"
280.602121	0.5299999999999727	states																				"        state_name
id                
12  wait_for_spoke"
281.132121	0.0004999999999881766	states																				"   state_name
id           
13  hit_state"
281.132621	0.7125000000000341	states																				"    state_name
id            
14  hit_state2"
281.845121	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
281.848621	0.09800000000001319	states																				"                state_name
id                        
2   check_next_trial_ready"
281.947121	15.579499999999996	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-4.0	-4.0	6500.0	14200.0	0.0	l	2.0	d	0.0	-4.0	-4.0	2.0	
281.947121	15.579499999999996	states																				"   state_name
id           
0     state_0"
281.947121	0.016000000000019554	states																				"          state_name
id                  
1   sending_trialnum"
281.963121	0.0005080000000248219	states																				"        state_name
id                
3   wait_for_cpoke"
281.963629	0.5004919999999515	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
282.464121	8.563000000000045	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
291.027121	0.0009999999999763531	states																				"     state_name
id             
7   nic_prestim"
291.028121	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
291.028621	0.41250000000002274	states																				"   state_name
id           
9    cpoke_in"
291.441121	0.07349999999996726	states																				"   state_name
id           
10  cpoke_out"
291.514621	0.8860000000000241	states																				"   state_name
id           
9    cpoke_in"
292.400621	0.02749999999997499	states																				"   state_name
id           
10  cpoke_out"
292.428121	0.00050000000004502	states																				"       state_name
id               
11  wait_for_cout"
292.428621	0.4919999999999618	states																				"        state_name
id                
12  wait_for_spoke"
292.920621	4.6025000000000205	states																				"     state_name
id             
15  error_state"
297.523121	0.0034999999999740794	states																				"        state_name
id                
20  clean_up_state"
297.527121	4.903499999999951	trials	0.0	0.0	5.0	2.0	1.0	1.0	0.15	-2.5	-2.5	6500.0	14200.0	1.0	l	2.0	d	0.0	-2.5	-2.5	1.0	
297.527121	4.903499999999951	states																				"   state_name
id           
0     state_0"
297.527121	0.01599999999996271	states																				"          state_name
id                  
1   sending_trialnum"
297.543121	0.000504000000034921	states																				"        state_name
id                
3   wait_for_cpoke"
297.543625	0.5004959999999983	states																				"            state_name
id                    
4   wait_for_cpoke_dir"
298.044121	2.1329999999999814	states																				"            state_name
id                    
6   wait_for_cpoke_bis"
300.177121	0.0015000000000213731	states																				"     state_name
id             
7   nic_prestim"
300.178621	0.0004999999999881766	states																				"   state_name
id           
8       cpoke"
300.179121	0.36000000000001364	states																				"   state_name
id           
9    cpoke_in"
300.539121	0.04499999999995907	states																				"   state_name
id           
10  cpoke_out"
300.584121	0.15750100000002476	states																				"   state_name
id           
9    cpoke_in"
300.741622	0.07249899999999343	states																				"   state_name
id           
10  cpoke_out"
300.814121	0.22949999999997317	states																				"   state_name
id           
9    cpoke_in"
301.043621	0.06400000000002137	states																				"   state_name
id           
10  cpoke_out"
301.107621	0.3795000000000073	states																				"   state_name
id           
9    cpoke_in"
301.487121	0.09199999999998454	states																				"   state_name
id           
10  cpoke_out"
301.579121	0.0004999999999881766	states																				"       state_name
id               
11  wait_for_cout"
301.579621	0.19200000000000728	states																				"        state_name
id                
12  wait_for_spoke"
301.771621	0.00050000000004502	states																				"   state_name
id           
13  hit_state"
301.772121	0.5664999999999623	states																				"    state_name
id            
14  hit_state2"
302.338621	0.003500000000030923	states																				"        state_name
id                
20  clean_up_state"
