onset	duration	nwb_table	ProAnti3Marino_hit_history	ProAnti3Marino_sides_history	ProAnti3Marino_psych_history	ProAnti3Marino_loc_history	ProAnti3Marino_mem_history	ProAnti3Marino_free_history	StimulatorSection_stimulator_history	MaskSection_mask_history	AntibiasSection_LocalHitHistory	AntibiasSection_LocalSidesHistory	AntibiasSection_LocalLocHistory	state_type
858.183721	3.0004969999999958	states												"            state_name
id                    
26  warndanger_warning"
861.184717	10.335003000000029	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
861.184717	10.335003000000029	states												"   state_name
id           
0     state_0"
861.184717	0.016000000000076398	states												"          state_name
id                  
1   sending_trialnum"
861.200717	3.2400069999999914	states												"      state_name
id              
3   wait_for_cin"
864.440724	1.0004879999999048	states												"   state_name
id           
4     context"
865.441212	0.0010030000000824657	states												"   state_name
id           
6       csgap"
865.442215	0.0720049999999901	states												"   state_name
id           
11    stim_on"
865.51422	0.0004969999999957508	states												"            state_name
id                    
14  son_reward_chooser"
865.514717	0.06401099999993676	states												"        state_name
id                
17  reward_big_son"
865.578728	0.936484000000064	states												"        state_name
id                
22  post_reward_on"
866.515212	0.009000000000014552	states												"         state_name
id                 
23  post_reward_off"
866.524212	1.9950000000000045	states												"         state_name
id                 
24  soft_drink_time"
868.519212	0.0005049999999755528	states												"    state_name
id            
25  warndanger"
868.519717	3.0000029999999924	states												"            state_name
id                    
26  warndanger_warning"
871.520212	6.9184999999999945	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
871.520212	6.9184999999999945	states												"   state_name
id           
0     state_0"
871.520212	0.016000999999960186	states												"          state_name
id                  
1   sending_trialnum"
871.536213	0.0005039999999780775	states												"      state_name
id              
3   wait_for_cin"
871.536717	1.0004950000000008	states												"   state_name
id           
4     context"
872.537212	0.0015050000000655928	states												"   state_name
id           
6       csgap"
872.538717	0.11200099999996382	states												"   state_name
id           
11    stim_on"
872.650718	0.0004940000000033251	states												"            state_name
id                    
14  son_reward_chooser"
872.651212	0.06399999999996453	states												"        state_name
id                
17  reward_big_son"
872.715212	0.9365060000000085	states												"        state_name
id                
22  post_reward_on"
873.651718	0.11049400000001697	states												"         state_name
id                 
23  post_reward_off"
873.762212	1.6755010000000539	states												"         state_name
id                 
24  soft_drink_time"
875.437713	0.0005049999999755528	states												"    state_name
id            
25  warndanger"
875.438218	3.0004940000000033	states												"            state_name
id                    
26  warndanger_warning"
878.439212	26.66999999999996	trials	1.0	r	2.0	p	1.0	r	0.0	0.0	1.0	r	p	
878.439212	26.66999999999996	states												"   state_name
id           
0     state_0"
878.439212	0.01599999999996271	states												"          state_name
id                  
1   sending_trialnum"
878.455212	18.547003000000018	states												"      state_name
id              
3   wait_for_cin"
