onset	duration	nwb_table	crosstalk_dir	bup_width	bup_ramp	vol_low	vol_hi	vol	gamma_dir	gamma_freq	freq_lo	freq_hi	HistorySection_hit_history	HistorySection_violation_history	HistorySection_hit_history_left	HistorySection_hit_history_right	HistorySection_side_history	HistorySection_result_history	HistorySection_hit_history_task	HistorySection_hit_history_stage	state_type
1602.869507	0.0035149999998793646	states																			"        state_name
id                
14  clean_up_state"
1602.873022	0.6249840000000404	states																			"                state_name
id                        
2   check_next_trial_ready"
1603.498506	7.389503000000104	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0		1.0			l	3.0	1.0	1.0	
1603.498506	7.389503000000104	states																			"   state_name
id           
0     state_0"
1603.498506	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1603.514506	3.3064999999999145	states																			"        state_name
id                
3   wait_for_cpoke"
1606.821006	0.10000000000013642	states																			"     state_name
id             
4   nic_prestim"
1606.921006	0.9629999999999654	states																			"   state_name
id           
5       cpoke"
1607.884006	3.000500000000102	states																			"         state_name
id                 
12  nic_error_state"
1610.884506	0.0035029999999096617	states																			"        state_name
id                
14  clean_up_state"
1610.888522	2.8504840000000513	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0			
1610.888522	2.8504840000000513	states																			"   state_name
id           
0     state_0"
1610.888522	0.015984000000116794	states																			"          state_name
id                  
1   sending_trialnum"
1610.904506	0.0004999999998744897	states																			"        state_name
id                
3   wait_for_cpoke"
1610.905006	0.10050500000011198	states																			"     state_name
id             
4   nic_prestim"
1611.005511	1.0000049999998737	states																			"   state_name
id           
5       cpoke"
1612.005516	0.41100600000004306	states																			"       state_name
id               
6   wait_for_cout"
1612.416522	0.2639839999999367	states																			"        state_name
id                
7   wait_for_spoke"
1612.680506	0.0005000000001018634	states																			"   state_name
id           
8   hit_state"
1612.681006	0.21149999999988722	states																			"    state_name
id            
9   hit_state2"
1612.892506	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1612.896006	0.8430000000000746	states																			"                state_name
id                        
2   check_next_trial_ready"
1613.739509	7.300997000000052	trials	0.0	5.0	2.0	1.0	1.0	0.15	-2.0	0.0	6500.0	14200.0		1.0			l	3.0			
1613.739509	7.300997000000052	states																			"   state_name
id           
0     state_0"
1613.739509	0.01600600000006125	states																			"          state_name
id                  
1   sending_trialnum"
1613.755515	3.258006000000023	states																			"        state_name
id                
3   wait_for_cpoke"
1617.013521	0.1004849999999351	states																			"     state_name
id             
4   nic_prestim"
1617.114006	0.922505000000001	states																			"   state_name
id           
5       cpoke"
1618.036511	3.0005009999999857	states																			"         state_name
id                 
12  nic_error_state"
1621.037012	0.0034940000000460714	states																			"        state_name
id                
14  clean_up_state"
1621.041006	4.0835000000001855	trials	0.0	5.0	2.0	1.0	1.0	0.15	2.0	0.0	6500.0	14200.0		1.0			r	3.0	1.0	1.0	
1621.041006	4.0835000000001855	states																			"   state_name
id           
0     state_0"
1621.041006	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1621.057006	0.0005129999999553547	states																			"        state_name
id                
3   wait_for_cpoke"
1621.057519	0.10048699999993005	states																			"     state_name
id             
4   nic_prestim"
1621.158006	0.962500000000091	states																			"   state_name
id           
5       cpoke"
1622.120506	3.000500000000102	states																			"         state_name
id                 
12  nic_error_state"
1625.121006	0.003500000000030923	states																			"        state_name
id                
14  clean_up_state"
1625.125022	3.0784880000001067	trials	0.0	5.0	2.0	1.0	1.0	0.15	5.0	0.0	6500.0	14200.0	1.0	0.0		1.0	r	1.0			
1625.125022	3.0784880000001067	states																			"   state_name
id           
0     state_0"
1625.125022	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1625.141022	0.1514839999999822	states																			"        state_name
id                
3   wait_for_cpoke"
1625.292506	0.10000700000000506	states																			"     state_name
id             
4   nic_prestim"
1625.392513	1.0004930000000058	states																			"   state_name
id           
5       cpoke"
1626.393006	0.24549999999999272	states																			"       state_name
id               
6   wait_for_cout"
1626.638506	0.24051600000007056	states																			"        state_name
id                
7   wait_for_spoke"
1626.879022	0.0004910000000108994	states																			"   state_name
id           
8   hit_state"
1626.879513	0.17400099999986196	states																			"    state_name
id            
9   hit_state2"
1627.053514	0.0035080000000107248	states																			"        state_name
id                
14  clean_up_state"
1627.057022	1.1464880000000903	states																			"                state_name
id                        
2   check_next_trial_ready"
1628.204006	5.251999999999953	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0		1.0			l	3.0	1.0	1.0	
1628.204006	5.251999999999953	states																			"   state_name
id           
0     state_0"
1628.204006	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1628.220006	1.3199999999999363	states																			"        state_name
id                
3   wait_for_cpoke"
1629.540006	0.10000000000013642	states																			"     state_name
id             
4   nic_prestim"
1629.640006	0.8120019999998931	states																			"   state_name
id           
5       cpoke"
1630.452008	3.0005069999999705	states																			"         state_name
id                 
12  nic_error_state"
1633.452515	0.003490999999939959	states																			"        state_name
id                
14  clean_up_state"
1633.456506	2.178000000000111	trials	0.0	5.0	2.0	1.0	1.0	0.15	5.0	0.0	6500.0	14200.0	1.0	0.0		1.0	r	1.0	1.0	1.0	
1633.456506	2.178000000000111	states																			"   state_name
id           
0     state_0"
1633.456506	0.016000000000076398	states																			"          state_name
id                  
1   sending_trialnum"
1633.472506	0.0004999999998744897	states																			"        state_name
id                
3   wait_for_cpoke"
1633.473006	0.10050999999998567	states																			"     state_name
id             
4   nic_prestim"
1633.573516	1.000490000000127	states																			"   state_name
id           
5       cpoke"
1634.574006	0.015016000000059648	states																			"       state_name
id               
6   wait_for_cout"
1634.589022	0.30248999999980697	states																			"        state_name
id                
7   wait_for_spoke"
1634.891512	0.000494000000117012	states																			"   state_name
id           
8   hit_state"
1634.892006	0.13650000000006912	states																			"    state_name
id            
9   hit_state2"
1635.028506	0.003499999999803549	states																			"        state_name
id                
14  clean_up_state"
1635.032006	0.602500000000191	states																			"                state_name
id                        
2   check_next_trial_ready"
1635.635006	3.8730000000000473	trials	0.0	5.0	2.0	1.0	1.0	0.15	-5.0	0.0	6500.0	14200.0	1.0	0.0	1.0		l	1.0	1.0	1.0	
1635.635006	3.8730000000000473	states																			"   state_name
id           
0     state_0"
1635.635006	0.016016000000036	states																			"          state_name
id                  
1   sending_trialnum"
1635.651022	1.204486000000088	states																			"        state_name
id                
3   wait_for_cpoke"
1636.855508	0.10001999999985856	states																			"     state_name
id             
4   nic_prestim"
